date,type,likes_count_fb,comments_count_fb,shares_count_fb,sentiment,valence,post_link
31/01/2016,link,831,487,259,positive,2,https://www.facebook.com/77249349077/posts/10153982870589078
01/02/2016,video,658,287,0,neutral,0,https://www.facebook.com/77249349077/posts/10153985834329078
01/02/2016,video,1403,198,0,neutral,0,https://www.facebook.com/77249349077/posts/10153986167454078
02/02/2016,photo,586,383,256,neutral,0,https://www.facebook.com/77249349077/posts/10153987635239078
02/02/2016,photo,638,183,208,positive,1,https://www.facebook.com/77249349077/posts/10153987746854078
02/02/2016,link,662,462,257,negative,-1,https://www.facebook.com/77249349077/posts/10153988299749078
03/02/2016,video,1761,309,0,neutral,0,https://www.facebook.com/77249349077/posts/10153989712594078
03/02/2016,photo,389,170,141,neutral,0,https://www.facebook.com/77249349077/posts/10153989756494078
03/02/2016,video,899,494,1377,positive,1,https://www.facebook.com/77249349077/posts/10153989911479078
03/02/2016,photo,591,256,386,neutral,0,https://www.facebook.com/77249349077/posts/10153990410544078
04/02/2016,photo,297,146,217,negative,-1,https://www.facebook.com/77249349077/posts/10153992275264078
04/02/2016,link,234,149,23,negative,-1,https://www.facebook.com/77249349077/posts/10153992524044078
04/02/2016,link,437,281,116,positive,1,https://www.facebook.com/77249349077/posts/10153992917424078
05/02/2016,link,33,223,14,positive,1,https://www.facebook.com/77249349077/posts/10153994195389078
05/02/2016,link,602,296,164,neutral,0,https://www.facebook.com/77249349077/posts/10153994628624078
07/02/2016,link,803,172,167,negative,-2,https://www.facebook.com/77249349077/posts/10153998449669078
08/02/2016,video,228,173,0,positive,1,https://www.facebook.com/77249349077/posts/10154001489844078
09/02/2016,photo,1121,312,414,positive,2,https://www.facebook.com/77249349077/posts/10154003567789078
09/02/2016,link,1021,657,533,positive,1,https://www.facebook.com/77249349077/posts/10154003843044078
10/02/2016,photo,468,167,223,positive,6,https://www.facebook.com/77249349077/posts/10154005721294078
10/02/2016,link,492,333,140,positive,1,https://www.facebook.com/77249349077/posts/10154006354244078
11/02/2016,link,248,127,96,positive,1,https://www.facebook.com/77249349077/posts/10154007645999078
11/02/2016,link,198,191,21,negative,-1,https://www.facebook.com/77249349077/posts/10154008219134078
12/02/2016,link,1058,544,339,neutral,0,https://www.facebook.com/77249349077/posts/10154009939489078
12/02/2016,link,433,345,81,positive,1,https://www.facebook.com/77249349077/posts/10154010254319078
13/02/2016,video,638,384,639,neutral,0,https://www.facebook.com/77249349077/posts/10154010270174078
14/02/2016,link,375,360,92,positive,3,https://www.facebook.com/77249349077/posts/10154013926339078
